Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
ALB,3,Albania,2514,Maize and products,5142,Food,1000 tonnes,41.15,20.17,149,153,158,166,166,166,170,175,181,184
ALB,3,Albania,2515,Rye and products,5142,Food,1000 tonnes,41.15,20.17,4,4,2,4,2,3,4,3,5,6
ALB,3,Albania,2516,Oats,5521,Feed,1000 tonnes,41.15,20.17,6,10,5,8,11,13,13,13,14,14
ALB,3,Albania,2516,Oats,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2517,Millet and products,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2518,Sorghum and products,5521,Feed,1000 tonnes,41.15,20.17,8,7,5,16,9,18,16,29,28,28
ALB,3,Albania,2520,"Cereals, Other",5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2520,"Cereals, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2532,Cassava and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2531,Potatoes and products,5521,Feed,1000 tonnes,41.15,20.17,1,0,0,0,1,1,3,5,11,4
ALB,3,Albania,2531,Potatoes and products,5142,Food,1000 tonnes,41.15,20.17,10,10,11,16,10,30,40,45,50,55
ALB,3,Albania,2533,Sweet potatoes,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2534,"Roots, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2537,Sugar beet,5521,Feed,1000 tonnes,41.15,20.17,3,4,3,8,0,6,1,0,0,1
ALB,3,Albania,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,41.15,20.17,18,20,22,24,25,26,27,28,30,31
ALB,3,Albania,2543,"Sweeteners, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2745,Honey,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,1,1
ALB,3,Albania,2546,Beans,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2546,Beans,5142,Food,1000 tonnes,41.15,20.17,5,6,7,8,8,8,9,10,9,11
ALB,3,Albania,2547,Peas,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,41.15,20.17,2,2,2,2,1,2,2,2,2,2
ALB,3,Albania,2549,"Pulses, Other and products",5142,Food,1000 tonnes,41.15,20.17,0,1,1,1,1,0,1,0,1,0
ALB,3,Albania,2551,Nuts and products,5142,Food,1000 tonnes,41.15,20.17,5,4,4,2,2,3,3,3,4,4
ALB,3,Albania,2555,Soyabeans,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2558,Rape and Mustardseed,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2563,Olives (including preserved),5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2563,Olives (including preserved),5142,Food,1000 tonnes,41.15,20.17,5,5,6,6,6,6,6,7,7,7
ALB,3,Albania,2570,"Oilcrops, Other",5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2571,Soyabean Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2572,Groundnut Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,41.15,20.17,1,2,2,2,2,3,4,5,6,7
ALB,3,Albania,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2577,Palm Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2580,Olive Oil,5142,Food,1000 tonnes,41.15,20.17,2,3,3,7,3,4,3,2,2,3
ALB,3,Albania,2582,Maize Germ Oil,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2601,Tomatoes and products,5142,Food,1000 tonnes,41.15,20.17,27,27,28,29,29,32,33,32,32,28
ALB,3,Albania,2602,Onions,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2605,"Vegetables, Other",5521,Feed,1000 tonnes,41.15,20.17,5,4,3,3,2,3,2,4,4,4
ALB,3,Albania,2605,"Vegetables, Other",5142,Food,1000 tonnes,41.15,20.17,93,96,120,128,124,75,72,72,87,142
ALB,3,Albania,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,41.15,20.17,2,1,2,2,2,2,2,3,3,3
ALB,3,Albania,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2613,Grapefruit and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2614,"Citrus, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2615,Bananas,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2616,Plantains,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
